year,Singer(s),Singer,Lyricist,Composer,Lyrics,Music,Artist(s)
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,"Bibbo, Surendra",,,,,
1936,,,,,,,
1936,,Ramchandra Pal,,,,,
1936,,Surendra,,,,,
1936,,Ramchandra Pal,,,,,
1936,,Bibbo,,,,,
1936,,Surendra,,,,,
1936,,"Bibbo, Surendra",,,,,
1936,,"Surendra, Ramchandra Pal",,,,,
1936,,Ramchandra Pal,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,K. L. Saigal,,,,,
1936,,K. L. Saigal,,,,,
1936,,Chandrabati Devi,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1936,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
1937,,,,,,,
